;Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_before_stress;TV_after_stress;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next
10;300128;AT0000A324S8;2157427.38116;6.941810178;6.941810178;12879.40341;-59905.80541132949;;0.0;0.0;2220884.959;10.0;AT0000A324S8;Bond;2157427.38116;2097521.5757486704;0.0025;6.913037075501371;0.0015;6.924546316500822
11;300128;BE0000320292;1954985.6778;11.64055724;11.64055724;35268.62212;-91028.49074324439;;0.0;0.0;2052875.334;10.0;BE0000320292;Bond;1954985.6778;1863957.1870567556;0.0025;11.528304970130566;0.0015;11.573205878078339
12;300128;BE0000333428;2072036.2286800002;7.759112333;7.759112333;15790.42644;-64308.64742549519;;0.0;0.0;2140433.251;10.0;BE0000333428;Bond;2072036.2286800002;2007727.581254505;0.0025;7.71910367014267;0.0015;7.735107135285602
13;300128;BE0000336454;2017531.8942;11.06109484;11.06109484;30771.59639;-89264.44649788419;;0.0;0.0;2113948.63;10.0;BE0000336454;Bond;2017531.8942;1928267.4477021159;0.0025;10.985661910120795;0.0015;11.015835082072478
14;300128;BE0000338476;1898563.08956;16.95792156;16.95792156;71959.02111;-128782.73579787894;;0.0;0.0;2040784.932;10.0;BE0000338476;Bond;1898563.08956;1769780.353762121;0.0025;16.729303494752326;0.0015;16.820750720851393
15;300128;BE0000343526;646217.22442;19.79026127;19.79026127;38051.1605;-51155.23083378409;;0.0;0.0;703283.0553;10.0;BE0000343526;Bond;646217.22442;595061.9935862159;0.0025;19.29732424239127;0.0015;19.49449905343476
16;300128;BE0000346552;2155164.40116;7.367802949;7.367802949;14180.96909;-63515.30652178587;;0.0;0.0;2222616.439;10.0;BE0000346552;Bond;2155164.40116;2091649.094638214;0.0025;7.339014396706519;0.0015;7.3505298176239116
17;300128;BE0000353624;278905.15103999997;32.21637608;32.21637608;42847.50699;-35941.25294621537;;0.0;0.0;321879.9958;10.0;BE0000353624;Bond;278905.15103999997;242963.8980937846;0.0025;30.970425270591644;0.0015;31.46880559435499
18;300128;BE0000358672;213594.936932;17.29964049;17.29964049;9686.13191;-14780.462477631296;;0.0;0.0;229828.8236;10.0;BE0000358672;Bond;213594.936932;198814.47445436873;0.0025;16.914131032374762;0.0015;17.06833481542486
19;300128;BE0002592708;2416027.693796;0.541534855;0.541534855;136.7154976;-15700.358482029615;;0.0;0.0;2432274.725;4.0;BE0002592708;Bond;2416027.693796;2400327.33531397;0.0025;0.5408533327039289;0.0095;0.53894507027493
20;300128;BE0002963446;3318521.028515;3.959401871;3.959401871;6969.886855;-85405.82940015837;;0.0;0.0;3408968.767;7.0;BE0002963446;Bond;3318521.028515;3233115.1991148414;0.0025;3.9460865504949036;0.004;3.9380973581918455
21;300128;BE6321529396;1573652.6751879998;4.78335446;4.78335446;4533.539149;-45164.031254108704;;0.0;0.0;1620087.781;7.0;BE6321529396;Bond;1573652.6751879998;1528488.643933891;0.0025;4.768533109570181;0.0035;4.7626045693982535
22;300128;BE6350792089;2425374.4728200003;5.394732703;5.394732703;9228.68555;-78505.48191326064;;0.0;0.0;2508413.918;7.0;BE6350792089;Bond;2425374.4728200003;2346868.9909067396;0.0025;5.3723641567856415;0.0035;5.3634167382998985
23;300128;CDSB100003448;-1687590.25;4.0;0.0;0.0;16875.9025;;0.0;0.0;0.0;;CDSB100003448;CDS;-1687590.25;-1670714.3475;0.0025;4.04;0.014;0.0
24;300128;CDSO100000058;1778903.077902;1.515938655;-316.7005378;0.0;7880572.090670715;MORGAN STANLEY EUROPE SE;0.0;0.0;327605.3933;;;CDS Index Option;1778903.077902;9659475.168572715;0.0025;1.521683830014308;0.014;1087.4886911993294
25;300128;CDSO100000059;-748240.605337;1.403379678;-350.7363444;0.0;-3671467.2809161344;MORGAN STANLEY EUROPE SE;0.0;0.0;-126674.4359;;;CDS Index Option;-748240.605337;-4419707.886253134;0.0025;1.4083033643015586;0.014;1371.487421563056
26;300128;CSH_CAD_DB;32257.30655;0.0;0.0;0.0;0.0;;0.0;322.5730655;32257.30655;;;Cash;32257.30655;32257.30655;0.0;0.0;0.0;0.0
27;300128;CSH_DKK_DB;745.595136;0.0;0.0;0.0;0.0;;0.0;7.45595136;745.595136;;;Cash;745.595136;745.595136;0.0;0.0;0.0;0.0
28;300128;CSH_EUR_DB;5450072.962491324;0.0;0.0;0.0;0.0;;0.0;0.0;4573221.42;;;Cash;5450072.962491324;5450072.962491324;0.0;0.0;0.0;0.0
29;300128;CSH_GBP_DB;319755.2702175;0.0;0.0;0.0;-8409.08008461539;;0.0;3279.541233;327954.1233;;;Cash;319755.2702175;311346.1901328846;0.0;0.0;0.0;0.0
30;300128;CSH_JPY_DB;98.60269633499999;0.0;0.0;0.0;-2.5931018102564125;;0.0;1.011309706;101.1309706;;;Cash;98.60269633499999;96.00959452474358;0.0;0.0;0.0;0.0
31;300128;CSH_SEK_DB;9421.103676;0.0;0.0;0.0;0.0;;0.0;94.21103676;9421.103676;;;Cash;9421.103676;9421.103676;0.0;0.0;0.0;0.0
32;300128;CSH_USD_DB;1626493.717875;0.0;0.0;0.0;-42774.325256410295;;0.0;16681.98685;1668198.685;;;Cash;1626493.717875;1583719.3926185898;0.0;0.0;0.0;0.0
33;300128;DE0001030708;10844997.6432;5.255071777;5.255071777;36301.85299;-227964.96414564742;;0.0;0.0;11083427.99;10.0;DE0001030708;Bond;10844997.6432;10617032.679054353;0.0025;5.2404278209376445;0.0015;5.246285403362587
34;300128;DE0001102341;3478359.41588;15.8103206;15.8103206;116449.0169;-219975.91010836617;;0.0;0.0;3719305.753;10.0;DE0001102341;Bond;3478359.41588;3258383.505771634;0.0025;15.598282597342324;0.0015;15.683097798405395
35;300128;DE0001102416;13409986.77052;1.840183463;1.840183463;7016.319688;-98707.3435766387;;0.0;0.0;13511426.43;10.0;DE0001102416;Bond;13409986.77052;13311279.426943362;0.0025;1.8355687508507645;0.0015;1.8374146357104586
36;300128;DE0001102432;6545454.2272;18.89091353;18.89091353;299232.0984;-494598.43928243255;;0.0;0.0;7096182.192;10.0;DE0001102432;Bond;6545454.2272;6050855.787917567;0.0025;18.64017963359115;0.0015;18.74047319215469
37;300128;DE0001102465;7930278.18944;3.783089855;3.783089855;14539.51188;-120003.81986319293;;0.0;0.0;8054856.176;10.0;DE0001102465;Bond;7930278.18944;7810274.369576807;0.0025;3.773033836261889;0.0015;3.7770562437571336
38;300128;DE0001102481;1094801.55372;24.62871896;24.62871896;76828.01795;-107854.2391341649;;0.0;0.0;1218568.0;10.0;DE0001102481;Bond;1094801.55372;986947.3145858351;0.0025;24.390771171480843;0.0015;24.485950286888507
39;300128;DE0001102507;20813264.6184;5.254762596;5.254762596;69660.79594;-437475.05766967416;;0.0;0.0;21270850.14;10.0;DE0001102507;Bond;20813264.6184;20375789.560730327;0.0025;5.2401203631254845;0.0015;5.245977256275291
40;300128;DE0001102515;3942243.25756;9.850576783;9.850576783;43806.66387;-155333.4796234353;;0.0;0.0;4108707.837;10.0;DE0001102515;Bond;3942243.25756;3786909.7779365648;0.0025;9.815358543617386;0.0015;9.82944583937043
41;300128;DE0001102531;9463737.29788;5.744383029;5.744383029;37421.11757;-217453.32769942476;;0.0;0.0;9691990.308;10.0;DE0001102531;Bond;9463737.29788;9246283.970180575;0.0025;5.728023906688766;0.0015;5.73456755561326
42;300128;DE0001102572;4954449.6326;26.57008174;26.57008174;407161.7081;-526560.5268595798;;0.0;0.0;5564159.567;10.0;DE0001102572;Bond;4954449.6326;4427889.1057404205;0.0025;26.28047943115097;0.0015;26.39632035469058
43;300128;DE0001102580;8288850.99012;6.712951395;6.712951395;43993.81696;-222570.61526829275;;0.0;0.0;8523588.276;10.0;DE0001102580;Bond;8288850.99012;8066280.374851707;0.0025;6.692920953170265;0.0015;6.700933129902159
