,Portfolio,Counterparty,Balance_J,Balance_J_1,Variation,Seuil declenchement,Seuil_respecte,Appel_declenche,Sens_appel,Balance_apres_appel,Fonds_monetaires_initial,Fonds_monetaires_utilises,Fonds_monetaires_restant,Obligations_liquides_initial,Obligations_liquides_utilisees,Obligations_liquides_restantes,Cash_initial,Cash_disponible,Cash_utilise,Cash_restant,Alerte
74,900200,CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
75,900200,Citigroup Global Markets Europe AG,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
76,900200,DEUTSCHE BANK AKTIENGESELLSCHAFT,0.0,880000.0,-880000.0,100000.0,False,True,Groupama poste,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,880000.0,17252010.7197525,
77,900200,GOLDMAN SACHS BANK EUROPE SE,-1552465.9163274998,-570000.0,-982465.9163274998,100000.0,False,True,Groupama poste,-1552465.9163274998,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,982465.9163274998,17252010.7197525,
78,900200,GOLDMAN SACHS INTERNATIONAL,0.0,-1445000.0,1445000.0,100000.0,False,True,Contrepartie poste,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
79,900200,GOLDMAN SACHS INTERNATIONAL  PARIS BRANCH,-262844.82435,0.0,-262844.82435,0.0,False,True,Groupama poste,-262844.82435,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,262844.82435,17252010.7197525,
80,900200,J.P. MORGAN SECURITIES LIMITED,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
81,900200,JP MORGAN SE,918039.8277342005,975000.0,-56960.17226579948,250000.0,True,False,Aucun appel,975000.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
82,900200,MORGAN STANLEY AND CO. INTERNATIONAL PLC,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
83,900200,MORGAN STANLEY EUROPE SE,362737.5332929999,130000.0,232737.5332929999,100000.0,False,True,Contrepartie poste,362737.5332929999,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
84,900200,NATIXIS,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
85,900200,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
86,900200,SOCIETE GENERALE,-164296.28640874996,-250000.0,85703.71359125004,100000.0,True,False,Aucun appel,-250000.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
87,900300,BNP PARIBAS,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,900300,CACEIS BANK Luxembourg,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,900300,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
