Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_day;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next;EquityDelta_next;FXDelta_next
300128;DE0001102432;7096182.192;18.89091353;18.89091353;299232.0984;-550727.9648;;0.0;0.0;7096182.192;10.0;DE0001102432;Bond;6545454.2272;0.0025;18.72887905132391;0.0;18.89091353;0.0;0.0
300128;DE0001102465;8054856.176;3.783089855;3.783089855;14539.51188;-124577.98656000002;;0.0;0.0;8054856.176;10.0;DE0001102465;Bond;7930278.18944;0.0025;3.773742736186526;0.0;3.783089855;0.0;0.0
300128;DE0001102481;1218568.0;24.62871896;24.62871896;76828.01795;-123766.44628;;0.0;0.0;1218568.0;10.0;DE0001102481;Bond;1094801.55372;0.0025;24.56895873305089;0.0;24.62871896;0.0;0.0
300128;DE0001102507;21270850.14;5.254762596;5.254762596;69660.79594;-457585.5216;;0.0;0.0;21270850.14;10.0;DE0001102507;Bond;20813264.6184;0.0025;5.241920376209299;0.0;5.254762596;0.0;0.0
300128;DE0001102515;4108707.837;9.850576783;9.850576783;43806.66387;-166464.57944000003;;0.0;0.0;4108707.837;10.0;DE0001102515;Bond;3942243.25756;0.0025;9.826613747008283;0.0;9.850576783;0.0;0.0
300128;DE0001102531;9691990.308;5.744383029;5.744383029;37421.11757;-228253.01012;;0.0;0.0;9691990.308;10.0;DE0001102531;Bond;9463737.29788;0.0025;5.730351985232163;0.0;5.744383029;0.0;0.0
300128;DE0001102572;5564159.567;26.57008174;26.57008174;407161.7081;-609709.9343999999;;0.0;0.0;5564159.567;10.0;DE0001102572;Bond;4954449.6326;0.0025;26.50561038628682;0.0;26.57008174;0.0;0.0
300128;DE0001102580;8523588.276;6.712951395;6.712951395;43993.81696;-234737.28588;;0.0;0.0;8523588.276;10.0;DE0001102580;Bond;8288850.99012;0.0025;6.6965751920610455;0.0;6.712951395;0.0;0.0
300128;DE0001102622;11006651.23;4.326985819;4.326985819;25865.33343;-194910.74132000003;;0.0;0.0;11006651.23;10.0;DE0001102622;Bond;10811740.488680001;0.0025;4.315043509196952;0.0;4.326985819;0.0;0.0
300128;DE0001135085;13407443.84;2.947774176;2.947774176;16194.59444;-161571.3838;;0.0;0.0;13407443.84;10.0;DE0001135085;Bond;13245872.4562;0.0025;2.939300586645282;0.0;2.947774176;0.0;0.0
300128;DE0001135226;6780501.515;7.417513387;7.417513387;47302.27296;-206172.0256;;0.0;0.0;6780501.515;10.0;DE0001135226;Bond;6574329.489399999;0.0025;7.380656639230749;0.0;7.417513387;0.0;0.0
300128;DE0001135275;5613673.288;9.395062107;9.395062107;61105.73127;-216364.28332;;0.0;0.0;5613673.288;10.0;DE0001135275;Bond;5397309.004679999;0.0025;9.343601089914559;0.0;9.395062107;0.0;0.0
300128;DE0001135325;7129657.491;10.62093499;10.62093499;102693.1978;-310191.47740000003;;0.0;0.0;7129657.491;10.0;DE0001135325;Bond;6819466.0136;0.0025;10.5428540160841;0.0;10.62093499;0.0;0.0
300128;DE0001141869;14383797.92;2.454125032;2.454125032;12210.54302;-144050.54252;;0.0;0.0;14383797.92;10.0;DE0001141869;Bond;14239747.37748;0.0025;2.4479591181261813;0.0;2.454125032;0.0;0.0
300128;DE000A4DE982;2160170.356;4.767222132;4.767222132;6387.203103;-132414.56316;;0.0;0.0;2160170.356;5.0;DE000A4DE982;Bond;2027755.7928400002;0.0025;4.750118017270587;0.0;4.767222132;0.0;0.0
300128;DE000BU2F009;3799184.663;12.56044035;12.56044035;74030.52366;-195734.79308000003;;0.0;0.0;3799184.663;10.0;DE000BU2F009;Bond;3603449.86992;0.0025;12.467704562139986;0.0;12.56044035;0.0;0.0
300128;DE000BU3Z005;6392246.918;7.087781504;7.087781504;38182.52982;-185865.82888;;0.0;0.0;6392246.918;10.0;DE000BU3Z005;Bond;6206381.08912;0.0025;7.064041710595;0.0;7.087781504;0.0;0.0
300128;DE000CZ439B6;1591294.521;2.755198333;2.755198333;1665.842271;-29457.508301;;0.0;0.0;1591294.521;6.0;DE000CZ439B6;Bond;1561837.0126989998;0.0025;2.748004946734956;0.0;2.755198333;0.0;0.0
300128;DE000CZ45YV9;4866069.671;5.311327174;5.311327174;17447.14492;-174996.755635;;0.0;0.0;4866069.671;7.0;DE000CZ45YV9;Bond;4691072.915365;0.0025;5.292215924651502;0.0;5.311327174;0.0;0.0
300128;DE000DL19VZ9;2747356.164;2.216843874;2.216843874;2003.538841;-78619.93914;;0.0;0.0;2747356.164;6.0;DE000DL19VZ9;Bond;2668736.22486;0.0025;2.2108983487528175;0.0;2.216843874;0.0;0.0
300128;DE000HCB0B44;4019875.288;2.961459964;2.961459964;4868.94069;-80234.757785;;0.0;0.0;4019875.288;6.0;DE000HCB0B44;Bond;3939640.5302150003;0.0025;2.953105155506907;0.0;2.961459964;0.0;0.0
300128;DUM25 Cmdty;0.0;0.0;0.0;6507.391029;-92363.6094;;0.0;0.0;11978960.0;;;Bond Future;-92363.6094;0.0025;0.0;0.0;0.0;0.0;0.0
300128;ES0000011868;4765925.343;3.449348628;3.449348628;7558.115373;-67391.86536;;0.0;0.0;4765925.343;10.0;ES0000011868;Bond;4698533.47764;0.0025;3.439447011709588;0.0;3.449348628;0.0;0.0
300128;ES00000124H4;2636907.872;12.61380344;12.61380344;56681.99045;-135728.15492;;0.0;0.0;2636907.872;10.0;ES00000124H4;Bond;2501179.71708;0.0025;12.474182835302289;0.0;12.61380344;0.0;0.0
300128;ES00000128C6;2260515.423;15.02568361;15.02568361;65912.41636;-138937.72859999997;;0.0;0.0;2260515.423;10.0;ES00000128C6;Bond;2121577.6944;0.0025;14.86115812736937;0.0;15.02568361;0.0;0.0
300128;ES00000128E2;705593.7229;19.77205432;19.77205432;42886.26115;-56201.90812;;0.0;0.0;705593.7229;10.0;ES00000128E2;Bond;649391.81478;0.0025;19.2298799181317;0.0;19.77205432;0.0;0.0
300128;ES00000128Q6;6705437.894;7.29191605;7.29191605;42951.2916;-201520.05088000002;;0.0;0.0;6705437.894;10.0;ES00000128Q6;Bond;6503917.84312;0.0025;7.264710106338927;0.0;7.29191605;0.0;0.0
300128;ES0000012E69;2385466.516;8.991600724;8.991600724;22786.56256;-88515.73736;;0.0;0.0;2385466.516;10.0;ES0000012E69;Bond;2296950.7786399997;0.0025;8.954916787409884;0.0;8.991600724;0.0;0.0
300128;ES0000012F76;7513605.391;4.872309842;4.872309842;21609.73203;-150404.78764;;0.0;0.0;7513605.391;10.0;ES0000012F76;Bond;7363200.60336;0.0025;4.859756343878704;0.0;4.872309842;0.0;0.0
300128;ES0000012H58;331494.2137;25.63598008;25.63598008;31893.42356;-34513.864752;;0.0;0.0;331494.2137;10.0;ES0000012H58;Bond;296980.348948;0.0025;24.87371122017736;0.0;25.63598008;0.0;0.0
300128;ES0000012K20;6903717.26;6.669732174;6.669732174;35861.61409;-189745.26892;;0.0;0.0;6903717.26;10.0;ES0000012K20;Bond;6713971.99108;0.0025;6.65108206955272;0.0;6.669732174;0.0;0.0
300128;ES0000012K46;2617401.096;18.97488832;18.97488832;121810.8837;-202889.58952;;0.0;0.0;2617401.096;10.0;ES0000012K46;Bond;2414511.50648;0.0025;18.711532590805366;0.0;18.97488832;0.0;0.0
300128;ES0000012L60;433094.1904;10.61358816;10.61358816;6226.399203;-18905.525772;;0.0;0.0;433094.1904;10.0;ES0000012L60;Bond;414188.664628;0.0025;10.535795106417046;0.0;10.61358816;0.0;0.0
300128;ES0840609012;1207369.565;0.947859678;0.947859678;138.0328358;-13894.487316;;0.0;0.0;1207369.565;3.0;ES0840609012;Bond;1193475.077684;0.0025;0.9472476414982066;0.0;0.947859678;0.0;0.0
300128;ES0840609020;2071437.5;2.308774333;2.308774333;1282.275188;-58232.586599999995;;0.0;0.0;2071437.5;5.0;ES0840609020;Bond;2013204.9134;0.0025;2.30662476197968;0.0;2.308774333;0.0;0.0
300128;ES0840609061;805166.6667;5.764973781;5.764973781;3204.930055;-56446.17936;;0.0;0.0;805166.6667;6.0;ES0840609061;Bond;748720.48734;0.0025;5.748549701228984;0.0;5.764973781;0.0;0.0
300128;FI4000507231;2025183.116;6.257802632;6.257802632;9188.340567;-52115.62412000001;;0.0;0.0;2025183.116;10.0;FI4000507231;Bond;1973067.4918799999;0.0025;6.242276820007688;0.0;6.257802632;0.0;0.0
300128;FI4000517677;1222049.041;16.3106033;16.3106033;36002.84149;-82378.92608;;0.0;0.0;1222049.041;9.0;FI4000517677;Bond;1139670.11492;0.0025;16.23916663114391;0.0;16.3106033;0.0;0.0
300128;FI4000566294;663734.0063;18.4171125;18.4171125;31181.05409;-49948.78456;;0.0;0.0;663734.0063;9.0;FI4000566294;Bond;613785.22174;0.0025;18.090631633098116;0.0;18.4171125;0.0;0.0
300128;FR0010171975;4219562.599;16.60496717;16.60496717;170022.6855;-322279.10496;;0.0;0.0;4219562.599;10.0;FR0010171975;Bond;3897283.4940400003;0.0025;16.286931698157144;0.0;16.60496717;0.0;0.0
300128;FR0010371401;6849735.616;10.24526991;10.24526991;90701.08092;-324693.75933;;0.0;0.0;6849735.616;10.0;FR0010371401;Bond;6525041.856670001;0.0025;10.176645179213935;0.0;10.24526991;0.0;0.0
300128;FR0013067196;2748812.671;1.120125631;1.120125631;649.5522719;-38259.071832;;0.0;0.0;2748812.671;5.0;FR0013067196;Bond;2710553.5991680003;0.0025;1.1173547632900747;0.0;1.120125631;0.0;0.0
