;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;LiquidityScore;TV_before_stress
3453;400804;FR0014006CS9;FR0014006CS9;Bond;BOUYGUES (EUR 0.500, 11-Feb-2030);4693.657795;4.671168097;0.0;0.0;0.0;4.815120763;1771135.068;2000000.0;-804.158301394055;-804.158301394055;4.671168097;1721535.78012;0.065834972;1771135.068;;7.0;1771135.068
3454;400804;FR0014006IG1;FR0014006IG1;Bond;CREDIT LOGEMENT SA (EUR 1.081, 15-Feb-2034);4691.188981;3.676543276;0.0;0.0;0.0;3.811940239;2726409.37;3000000.0;-956.4943485594571;-956.4943485594571;3.676543276;2601613.1914;0.101343532;2726409.37;;5.0;2726409.37
3455;400804;FR0014006NI7;FR0014006NI7;Bond;BNP PARIBAS SA (EUR 0.500, 30-May-2028);1831.009747;2.086693188;0.0;0.0;0.0;2.148869494;2858784.247;3000000.0;-588.197692060648;-588.197692060648;2.086693188;2818802.953128;0.106264047;2858784.247;;7.0;2858784.247
3456;400804;FR0014006PN2;FR0014006PN2;Bond;SYNDICAT TRANSPORT ILE DE FRANCE (EUR 0.675, 24-Nov-2036);18494.43768;10.71367069;0.0;0.0;0.0;11.11319512;1435797.26;2000000.0;-1461.3661016578278;-1461.3661016578278;10.71367069;1364019.99272;0.053370109;1435797.26;;6.0;1435797.26
3457;400804;FR0014006UO0;FR0014006UO0;Bond;ELECTRICITE DE FRANCE SA (EUR 1.000, 29-Nov-2033);11662.82613;7.957911524;0.0;0.0;0.0;8.261808865;1597224.932;2000000.0;-1209.817926968775;-1209.817926968775;7.957911524;1520270.64302;0.059370547;1597224.932;;8.0;1597224.932
3458;400804;FR0014006XA3;FR0014006XA3;Bond;SOCIETE GENERALE SA (EUR 0.625, 2-Dec-2027);810.7938165;1.61979164;0.0;0.0;0.0;1.667618664;1929075.342;2000000.0;-309.08298346651134;-309.08298346651134;1.61979164;1908165.0740369998;0.071705779;1929075.342;;7.0;1929075.342
3459;400804;FR0014007LK5;FR0014007LK5;Bond;BNP PARIBAS SA (EUR 0.875, 11-Jul-2030);5566.120884;4.045382333;0.0;0.0;0.0;4.186747355;2711414.384;3000000.0;-1067.0053021063645;-1067.0053021063645;4.045382333;2637588.27788;0.100786152;2711414.384;;8.0;2711414.384
3460;400804;FR0014007LL3;FR0014007LL3;Bond;GROUPE BPCE SA (EUR 0.500, 14-Jan-2028);906.143669;1.737689457;0.0;0.0;0.0;1.786691443;1922082.192;2000000.0;-330.11932392774725;-330.11932392774725;1.737689457;1899760.1821080002;0.071445837;1922082.192;;7.0;1922082.192
3461;400804;FR0014007LP4;FR0014007LP4;Bond;RTE RESEAU DE TRANSPORT D ELECTRICITE SA (EUR 0.750, 12-Jan-2034);12071.45688;8.18400612;0.0;0.0;0.0;8.479394276;1579045.48;2000000.0;-1228.355766645452;-1228.355766645452;8.18400612;1500922.34614;0.058694798;1579045.48;;7.0;1579045.48
3462;400804;FR0014007ML1;FR0014007ML1;Bond;CREDIT AGRICOLE SA (EUR 0.625, 12-Jan-2028);1351.732712;1.730110693;0.0;0.0;0.0;1.779951839;2887756.849;3000000.0;-493.83354006857735;-493.83354006857735;1.730110693;2854346.4997159997;0.107340989;2887756.849;;7.0;2887756.849
