Portfolio,d1_id,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next,AssetType,Sector1,Seniority,CompositeBroadRating,MaturityDate,Maturity,Maturity Band,EffectiveMaturityDate,LiquidityScore,Country,{Class_Rating},TV_change
900200,CDSB100001853,150350.92480843642,1.6694221988789213,0.0,-165431.1421330221,SGCIB,,Credit Default Swap,-15080.217324585683,0.0025,1.6694221988789213,CDS,Corporates,Senior,BBB,2028-06-20 00:00:00,3.2246575342465755,1-5,,,Germany,IG,165431.1421330221
900200,CH1142231682,34526229.45152775,0.5786116463224997,3100.1787247612046,-133422.5935380271,,CH1142231682,Bond,34392806.85798973,0.0025,0.6561161144415298,Bond,Financials,Senior,A,2026-11-03 00:00:00,1.5945205479452054,1-5,2025-11-03,6.0,Switzerland,IG,133422.59353802353
900200,CH1174335732,40243561.643532686,0.5222358895181864,3141.4968403972584,-140466.56858591968,,CH1174335732,Bond,40103095.07494677,0.0025,0.6007733105281179,Bond,Financials,Senior,A,2026-10-13 00:00:00,1.536986301369863,1-5,2025-10-13,8.0,Switzerland,IG,140466.56858591735
900200,CSH_CAD_DB,0.1415084160361582,0.0,0.0,0.0,,,Cash,0.1415084160361582,0.0,0.0,Cash,Interest rates,,N/R,,,,,,,NR,0.0
900200,CSH_CHF_DB,23.239341306453824,0.0,0.0,0.0,,,Cash,23.239341306453824,0.0,0.0,Cash,Interest rates,,N/R,,,,,,,NR,0.0
900200,CSH_EUR_DB,18303574.630000003,0.0,0.0,0.0,,,Cash,18303574.630000003,0.0,0.0,Cash,Interest rates,,N/R,,,,,,,NR,0.0
900200,CSH_GBP_DB,6986.8624907424555,0.0,0.0,-1.7467156226856138,,,Cash,6985.11577511977,0.0,0.0,Cash,Interest rates,,N/R,,,,,,,NR,1.7467156226857696
900200,CSH_USD_DB,380599.0742455101,0.0,0.0,-95.14976856137753,,,Cash,380503.92447694874,0.0,0.0,Cash,Interest rates,,N/R,,,,,,,NR,95.14976856135763
900200,DE000A289RN6,22564224.65769437,0.0185988468878315,41.47979293407939,-2596.431330474421,,DE000A289RN6,Bond,22561628.226363894,0.0025,0.019635841711183485,Bond,Corporates,Senior,A,2025-04-07 00:00:00,0.019178082191780823,0-1,2025-04-07,7.0,Germany,IG,2596.431330475956
900200,DE000A3LKBD0,10008200.4,0.0629578993772984,6.369009319939778,-33519.63374921414,,DE000A3LKBD0,Bond,9974680.766250785,0.0025,0.06311712461029689,Bond,Financials,Senior,BBB,2026-01-21 00:00:00,0.810958904109589,0-1,2026-01-21,5.0,Luxembourg,IG,33519.63374921493
