day_index,day_label,Portfolio,Identifier,AssetClass,TV_start,TV_pre_collateral,TV_end_of_day,Stress_PnL,Collateral_sales
1,Day 1,300191,XS2823899161,Bond,0.0,-15625.328556499999,-15625.328556499999,-15625.328556499999,0.0
1,Day 1,300191,XS2840087667,Bond,0.0,-15667.02929375,-15667.02929375,-15667.02929375,0.0
1,Day 1,300191,XS2841263358,Bond,0.0,-20417.67836525,-20417.67836525,-20417.67836525,0.0
1,Day 1,300191,XS2843279691,Bond,0.0,-8408.29065775,-8408.29065775,-8408.29065775,0.0
1,Day 1,300191,XS2845159602,Bond,0.0,-19674.944692,-19674.944692,-19674.944692,0.0
1,Day 1,300191,XS2865535673,Bond,0.0,-31029.962616,-31029.962616,-31029.962616,0.0
1,Day 1,300191,XS2895045164,Bond,0.0,-34555.3761245,-34555.3761245,-34555.3761245,0.0
1,Day 1,300191,XS2903381072,Bond,0.0,-72707.738545,-72707.738545,-72707.738545,0.0
1,Day 1,300191,XS2906220855,Bond,0.0,-74836.109985,-74836.109985,-74836.109985,0.0
1,Day 1,300191,XS2908892438,Bond,0.0,-29580.9201495,-29580.9201495,-29580.9201495,0.0
1,Day 1,300191,XS2914666057,Bond,0.0,-42400.565517,-42400.565517,-42400.565517,0.0
1,Day 1,300191,XS2920487852,Bond,0.0,-84894.86161,-84894.86161,-84894.86161,0.0
1,Day 1,300191,XS2924143154,Bond,0.0,-45503.195736,-45503.195736,-45503.195736,0.0
1,Day 1,300191,XS2932960730,Bond,0.0,-36480.22188575,-36480.22188575,-36480.22188575,0.0
1,Day 1,300191,XS2942506978,Bond,0.0,-38803.771487750004,-38803.771487750004,-38803.771487750004,0.0
1,Day 1,300191,XS2974163672,Bond,0.0,-52555.61974,-52555.61974,-52555.61974,0.0
1,Day 1,300191,XS2976487483,Bond,0.0,-3559.5918345,-3559.5918345,-3559.5918345,0.0
1,Day 1,300191,XS2976509716,Bond,0.0,-16330.677078,-16330.677078,-16330.677078,0.0
1,Day 1,300191,XS2977963219,Bond,0.0,-61848.66996,-61848.66996,-61848.66996,0.0
1,Day 1,300191,XS2985295562,Bond,0.0,-5085.13212545,-5085.13212545,-5085.13212545,0.0
1,Day 1,300191,XS2989343293,Bond,0.0,-93507.73939,-93507.73939,-93507.73939,0.0
1,Day 1,300191,XS2993382667,Bond,0.0,-127295.422865,-127295.422865,-127295.422865,0.0
1,Day 1,300191,XS2994493786,Bond,0.0,-32323.816316999997,-32323.816316999997,-32323.816316999997,0.0
1,Day 1,300191,XS2996733593,Bond,0.0,-4264.2792231,-4264.2792231,-4264.2792231,0.0
1,Day 1,300191,XS2996858960,Bond,0.0,-112956.004689,-112956.004689,-112956.004689,0.0
1,Day 1,300191,XS2997427682,Bond,0.0,-168405.86151999998,-168405.86151999998,-168405.86151999998,0.0
1,Day 1,300191,XS2998732262,Bond,0.0,-119860.30653999999,-119860.30653999999,-119860.30653999999,0.0
1,Day 1,300191,XS2999542348,Bond,0.0,-54117.2310965,-54117.2310965,-54117.2310965,0.0
1,Day 1,300191,XS2999676203,Bond,0.0,-77274.747225,-77274.747225,-77274.747225,0.0
1,Day 1,300191,XS3002279886,Bond,0.0,-111258.724135,-111258.724135,-111258.724135,0.0
1,Day 1,300191,XS3002353103,Bond,0.0,-11186.134414,-11186.134414,-11186.134414,0.0
1,Day 1,300191,XS3003206359,Bond,0.0,-165538.58372999998,-165538.58372999998,-165538.58372999998,0.0
1,Day 1,300191,XS3005193340,Bond,0.0,-2818.8797856,-2818.8797856,-2818.8797856,0.0
1,Day 1,300191,XS3006178597,Bond,0.0,-60016.811595,-60016.811595,-60016.811595,0.0
1,Day 1,300191,XS3010368689,Bond,0.0,-3911.9563379,-3911.9563379,-3911.9563379,0.0
1,Day 1,300191,XS3015128211,Bond,0.0,-24090.125225999996,-24090.125225999996,-24090.125225999996,0.0
1,Day 1,300191,XS3020856848,Bond,0.0,-41557.545861,-41557.545861,-41557.545861,0.0
1,Day 1,300191,XS3020942176,Bond,0.0,-57941.4781335,-57941.4781335,-57941.4781335,0.0
1,Day 1,300191,XS3033735351,Bond,0.0,-9027.08385,-9027.08385,-9027.08385,0.0
1,Day 1,300191,XS3038488436,Bond,0.0,-62318.76024399999,-62318.76024399999,-62318.76024399999,0.0
1,Day 1,300191,XS3041239669,Bond,0.0,-4513.4868456,-4513.4868456,-4513.4868456,0.0
1,Day 1,300191,XS3041246524,Bond,0.0,-2463.1260899999997,-2463.1260899999997,-2463.1260899999997,0.0
1,Day 1,300191,XS3041382113,Bond,0.0,-7210.579997999999,-7210.579997999999,-7210.579997999999,0.0
2,Day 2,300191,BE6359531173,Bond,-6718.4676325,-6715.154699970899,-6715.154699970899,3.31293252910109,0.0
2,Day 2,300191,BE6360390031,Bond,-5257.85841425,-5254.431632088082,-5254.431632088082,3.426782161918709,0.0
2,Day 2,300191,CSH_EUR_DB,Cash,0.0,0.0,43598.50797969543,0.0,43598.50797969543
2,Day 2,300191,DE000CZ450R9,Bond,-142050.400765,-141233.8905410749,-141233.8905410749,816.5102239250846,0.0
2,Day 2,300191,DE000CZ451J4,Bond,-42243.164600000004,-42063.647617828276,-42063.647617828276,179.51698217172816,0.0
2,Day 2,300191,DE000CZ452E3,Bond,-119772.618095,-119046.14882087494,-119046.14882087494,726.4692741250619,0.0
2,Day 2,300191,FR0014003N51,Bond,0.0,0.0,0.0,0.0,0.0
2,Day 2,300191,FR0128580331,Bond,-4475.182095,-4473.902884486382,-4473.902884486382,1.279210513617727,0.0
2,Day 2,300191,FR0128584150,Bond,-5966.18605675,-5964.479574931679,-5964.479574931679,1.7064818183207535,0.0
2,Day 2,300191,FR0128585413,Bond,-8910.851564749999,-8907.806463182878,-8907.806463182878,3.0451015671205823,0.0
