,Portfolio,Identifier,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next
51,900200,IKM25 Cmdty,0.0,0.0,-19875.9704992228,138662.81142631825,,,Bond Future,138662.81142631825,0.0025,-0.49689926248057
52,900200,INFS10000294,337818.9704720788,8.96164383561639,-48.69983947987938,-332792.5737386868,JPMSE,,Index Linked Swap,5026.39673339203,0.0025,8.960426339629393
53,900200,INFS10000295,-1357239.567416324,18.96986301369862,1746.489229204141,1380023.7833402862,JPMSE,,Index Linked Swap,22784.215923962183,0.0025,19.013525244428724
54,900200,INFS10000296,1045590.03176928,28.97534246575347,-5227.462631761314,-1021033.6634602637,JPMSE,,Index Linked Swap,24556.368309016223,0.0025,28.844655899959438
55,900200,INFS10000345,717423.2938995262,19.1369863013699,-1170.7719146807192,-595233.4179299328,JPMSE,,Index Linked Swap,122189.87596959341,0.0025,19.107717003502884
56,900200,INFS10000347,705347.6431237764,19.136986301369877,-1131.6908057268174,-594655.6890212437,CEP,,Index Linked Swap,110691.9541025327,0.0025,19.108694031226708
57,900200,INFS10000349,-539589.4920262587,19.136986301369927,946.1288287757332,418452.37478575914,GIPB,,Index Linked Swap,-121137.11724049959,0.0025,19.16063952208932
58,900200,INFS10000350,-239383.74973853177,19.13698630136992,411.4967215943095,189132.31162272143,CA,,Index Linked Swap,-50251.438115810335,0.0025,19.147273719409778
59,900200,INFS10000353,-728042.6122863288,19.136986301369856,1226.2525069093203,586334.9051004994,GIPB,,Index Linked Swap,-141707.7071858294,0.0025,19.167642614042588
60,900200,IRSB100007718,-7060595.693452269,29.648612801537897,-831663.43911574,523342.1696584307,JPMSE,,Swap,-6537253.523793838,0.0025,8.857026823644397
61,900200,IRSB100008990,-16121685.176917745,0.6547943870369319,-691.2266131741188,26390.972408555615,CA,,Swap,-16095294.20450919,0.0025,0.6375137217075789
62,900200,IRSB100009460,-45010909.40552578,0.5863012296991261,-1547.2522804791583,65974.87883583934,BNPP,,Swap,-44944934.52668994,0.0025,0.5476199226871472
63,900200,LU2550878602,18646872.537600003,0.5360026175322387,429.3950903835528,0.0,,,Fund Unit,18646872.537600003,0.0,0.5360026175322387
64,900200,OEM25 Cmdty,0.0,0.0,-26492.178986517905,186533.6549726389,,,Bond Future,186533.6549726389,0.0025,-0.6623044746629476
65,900200,PTCGDNOM0026,3068291.095890069,0.2024642043624468,72.98238013928454,-4207.341626008163,,PTCGDNOM0026,Bond,3064083.754264061,0.0025,0.20428876386592892
66,900200,RXM25 Cmdty,0.0,0.0,-312270.0598926951,1371935.3164363853,,,Bond Future,1371935.3164363853,0.0025,-7.806751497317378
67,900200,XS0207764712,12182155.47777786,0.2291351792395992,116.36132182246683,-256186.704830223,,XS0207764712,Bond,11925968.772947636,0.0025,0.23204421228516087
68,900200,XS1684385161,8324972.3132008705,0.4594029894912147,362.83504782503377,-63224.17329367895,,XS1684385161,Bond,8261748.1399071915,0.0025,0.4684738656868406
69,900200,XS1739839998,18308060.10989232,0.1711131588475445,206.0460602138185,-38522.16483396521,,XS1739839998,Bond,18269537.945058353,0.0025,0.17626431035288995
70,900200,XS1808351214,38487253.46575344,0.0450183659411111,175.27127904592948,-21510.684128804663,,XS1808351214,Bond,38465742.78162464,0.0025,0.04940014791725934
71,900200,XS2010031057,8373292.341650883,0.2256536129372009,135.01536103355247,-23124.051179134498,,XS2010031057,Bond,8350168.290471748,0.0025,0.22902899696303972
72,900200,XS2052337503,16066292.602358129,0.6361666521426775,1643.2229798462545,-173581.98596547748,,XS2052337503,Bond,15892710.616392652,0.0025,0.6772472266388339
73,900200,XS2110110686,15350044.52054794,0.0739211646545826,117.72849362046114,-7653.994802026646,,XS2110110686,Bond,15342390.525745913,0.0025,0.07686437699509412
74,900200,XS2152062209,20588536.986607827,0.0158910624454902,32.14801758181339,-2369.0919272261062,,XS2152062209,Bond,20586167.8946806,0.0025,0.016694762885035536
75,900200,XS2183818637,20430363.013631187,0.4306814448211825,1232.7755212140703,-108812.6731465727,,XS2183818637,Bond,20321550.340484615,0.0025,0.46150083285153426
76,900200,XS2187689034,30750616.43836727,0.2042262176636068,728.4268521703793,-39428.187652481865,,XS2187689034,Bond,30711188.250714786,0.0025,0.2224368889678663
77,900200,XS2189784288,15986847.853914062,0.4735890991365954,1099.3818855309096,-95393.47118483888,,XS2189784288,Bond,15891454.382729223,0.0025,0.5010736462748682
