;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;TV_before_stress;LiquidityScore
3197;389088;FR0000571218;FR0000571218;Bond;REPUBLIC OF FRANCE (EUR 5.500, 25-Apr-2029);86740.17883;3.517812021;0.0;0.0;0.0;3.608120251;51243214.64;44056200.0;-17342.157364379724;-17342.157364379724;3.517812021;49454214.90747008;6.413950232;51243214.64;;49298135.49119066;10.0
3198;389088;FR0013067196;FR0013067196;Bond;SOC D'ETUDES PLACE FINAN (EUR 3.000, 8-Jun-2046);721.7247465;1.120125631;0.0;0.0;0.0;1.159766928;3054236.301;3000000.0;-331.0242353819053;-331.0242353819053;1.120125631;2963186.6207620557;0.382289046;3054236.301;;2955242.03911289;5.0
3199;389088;FR0013259132;FR0013259132;Fund Unit;GROUPAMA AXIOM LEGACY - I;32831.24647;3.282306222;8.222701517;-428.4046079;0.0;3.408334474;21276124.45;20196020.95;-6547.650582092098;-9355.74146642955;4.689988881;20058958.240164004;2.663042022;21275942.13;;19948323.341088004;
3200;389088;FR0013286192;FR0013286192;Bond;REPUBLIC OF FRANCE (EUR 0.750, 25-May-2028);73595.50097;3.032117306;0.0;0.0;0.0;3.104562865;60047094.19;62734000.0;-17610.646306681487;-17610.646306681487;3.032117306;58238855.27987612;7.51590384;60047094.19;;58080359.46311599;10.0
3201;389088;FR0013455854;FR0013455854;Bond;LA MONDIALE (EUR 4.375, Perpetual);5589.703946;3.989077969;0.0;0.0;0.0;4.097537552;2929471.154;3000000.0;-1037.5318464317356;-1037.5318464317356;3.989077969;2625832.2439560816;0.366672589;2929471.154;;2600931.47964172;4.0
3202;389088;FR0013461795;FR0013461795;Bond;LA BANQUE POSTALE SA (EUR 3.875, Perpetual);513.187649;1.080321634;0.0;0.0;0.0;1.109450752;2992298.37;3000000.0;-313.1945755101613;-313.1945755101613;1.080321634;2906603.0682816217;0.374536472;2992298.37;;2899086.398469378;3.0
3203;389088;FR00140007L3;FR00140007L3;Bond;VEOLIA ENVIRONNEMENT (EUR 2.500, Perpetual);4470.244135;3.429185656;0.0;0.0;0.0;3.582417851;2868390.411;3000000.0;-853.1034822264822;-853.1034822264822;3.429185656;2515925.221071748;0.359027307;2868390.411;;2487772.806158274;7.0
3204;389088;FR0014000OZ2;FR0014000OZ2;Bond;SOCIETE GENERALE SA (EUR 1.000, 24-Nov-2030);299.0249581;0.630868859;0.0;0.0;0.0;0.652054796;2965438.356;3000000.0;-183.6528857269768;-183.6528857269768;0.630868859;2915518.0071189143;0.371174489;2965438.356;;2911110.3378614667;7.0
3205;389088;FR0014009HA0;FR0014009HA0;Bond;BNP PARIBAS SA (EUR 2.500, 31-Mar-2032);2595.463833;1.908823613;0.0;0.0;0.0;1.97538073;4710000.0;4800000.0;-849.7584434984749;-849.7584434984749;1.908823613;4472133.156998961;0.589535723;4710000.0;;4451738.954354998;8.0
3206;389088;FR001400F6O6;FR001400F6O6;Bond;ARVAL SERVICE LEASE (EUR 4.125, 13-Apr-2026);408.3304177;0.741235057;0.0;0.0;0.0;0.760598906;3153122.466;3000000.0;-230.99967447208954;-230.99967447208954;0.741235057;3119418.9327991554;0.394666313;3153122.466;;3116415.937031018;6.0
